point_id,point_index,lat,lon,layer,heading,pitch,fov,size,url_no_key,url_template,url_with_key
0,0,44.49077731129163,11.334074642502554,ground,0,-45,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=0&pitch=-45&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=0&pitch=-45&fov=90&key={API_KEY}",
0,0,44.49077731129163,11.334074642502554,horizon,0,0,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=0&pitch=0&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=0&pitch=0&fov=90&key={API_KEY}",
0,0,44.49077731129163,11.334074642502554,sky,0,45,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=0&pitch=45&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=0&pitch=45&fov=90&key={API_KEY}",
0,0,44.49077731129163,11.334074642502554,ground,90,-45,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=90&pitch=-45&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=90&pitch=-45&fov=90&key={API_KEY}",
0,0,44.49077731129163,11.334074642502554,horizon,90,0,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=90&pitch=0&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=90&pitch=0&fov=90&key={API_KEY}",
0,0,44.49077731129163,11.334074642502554,sky,90,45,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=90&pitch=45&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=90&pitch=45&fov=90&key={API_KEY}",
0,0,44.49077731129163,11.334074642502554,ground,180,-45,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=180&pitch=-45&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=180&pitch=-45&fov=90&key={API_KEY}",
0,0,44.49077731129163,11.334074642502554,horizon,180,0,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=180&pitch=0&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=180&pitch=0&fov=90&key={API_KEY}",
0,0,44.49077731129163,11.334074642502554,sky,180,45,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=180&pitch=45&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=180&pitch=45&fov=90&key={API_KEY}",
0,0,44.49077731129163,11.334074642502554,ground,270,-45,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=270&pitch=-45&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=270&pitch=-45&fov=90&key={API_KEY}",
0,0,44.49077731129163,11.334074642502554,horizon,270,0,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=270&pitch=0&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=270&pitch=0&fov=90&key={API_KEY}",
0,0,44.49077731129163,11.334074642502554,sky,270,45,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=270&pitch=45&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49077731129163,11.334074642502554&heading=270&pitch=45&fov=90&key={API_KEY}",
1,1,44.49831696091402,11.34620613911444,ground,0,-45,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=0&pitch=-45&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=0&pitch=-45&fov=90&key={API_KEY}",
1,1,44.49831696091402,11.34620613911444,horizon,0,0,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=0&pitch=0&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=0&pitch=0&fov=90&key={API_KEY}",
1,1,44.49831696091402,11.34620613911444,sky,0,45,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=0&pitch=45&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=0&pitch=45&fov=90&key={API_KEY}",
1,1,44.49831696091402,11.34620613911444,ground,90,-45,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=90&pitch=-45&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=90&pitch=-45&fov=90&key={API_KEY}",
1,1,44.49831696091402,11.34620613911444,horizon,90,0,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=90&pitch=0&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=90&pitch=0&fov=90&key={API_KEY}",
1,1,44.49831696091402,11.34620613911444,sky,90,45,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=90&pitch=45&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=90&pitch=45&fov=90&key={API_KEY}",
1,1,44.49831696091402,11.34620613911444,ground,180,-45,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=180&pitch=-45&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=180&pitch=-45&fov=90&key={API_KEY}",
1,1,44.49831696091402,11.34620613911444,horizon,180,0,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=180&pitch=0&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=180&pitch=0&fov=90&key={API_KEY}",
1,1,44.49831696091402,11.34620613911444,sky,180,45,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=180&pitch=45&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=180&pitch=45&fov=90&key={API_KEY}",
1,1,44.49831696091402,11.34620613911444,ground,270,-45,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=270&pitch=-45&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=270&pitch=-45&fov=90&key={API_KEY}",
1,1,44.49831696091402,11.34620613911444,horizon,270,0,90,640x640,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=270&pitch=0&fov=90","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=44.49831696091402,11.34620613911444&heading=270&pitch=0&fov=90&key={API_KEY}",
